h3_index,building_count,total_area,avg_area
892aa840823ffff,1,1888.0171752,1888.0171752
892aa840827ffff,64,133912.05655972,2092.375883745625
892aa84082fffff,9,22329.8852626,2481.098362511111
892aa840903ffff,15,42404.98420165,2826.9989467766663
892aa840907ffff,40,141756.32418164,3543.908104541
892aa84090bffff,127,171268.62623035,1348.571860081496
892aa84090fffff,192,187364.50850633,975.8568151371354
892aa84091bffff,12,14177.4947669,1181.4578972416666
892aa840923ffff,220,270546.63444425,1229.7574292920456
892aa840927ffff,190,184560.34527862,971.3702383085263
892aa84092bffff,193,208658.8284722,1081.133826280829
892aa84092fffff,115,376596.22734716,3274.7498030187826
892aa840933ffff,125,131269.80675019,1050.15845400152
892aa840937ffff,91,107492.86607039,1181.2402864878022
892aa84093bffff,182,244598.00575861,1343.9450865857693
892aa840943ffff,115,137984.35428431,1199.8639502983476
892aa840947ffff,127,161478.1812827,1271.4817423834647
892aa84094bffff,67,142078.55599255,2120.5754625753734
892aa84094fffff,50,102951.35211898,2059.0270423796
892aa840953ffff,57,121803.46802488,2136.9029478049124
892aa840957ffff,134,163791.09439572,1222.3215999680597
892aa84095bffff,98,236912.84900504,2417.478051071837
892aa840963ffff,130,145211.15118316,1117.008855255077
892aa840967ffff,173,194975.06224648,1127.023481193526
892aa84096bffff,8,10245.64997327,1280.70624665875
892aa840973ffff,155,179962.40555495,1161.047777773871
892aa840977ffff,192,186480.80527079,971.2541941186979
892aa84097bffff,55,131364.28570108,2388.4415582014544
892aa840b07ffff,87,168297.58924409,1934.4550487826436
892aa840b0fffff,9,22184.28369619,2464.920410687778
892aa840b17ffff,6,17310.55908188,2885.0931803133335
892aa840b23ffff,56,114752.36393441,2049.149355971607
892aa840b27ffff,41,66904.83418449,1631.8252240119511
892aa840b2bffff,77,112104.07113855,1455.8970277733767
892aa840b2fffff,150,182902.27432994999,1219.348495533
892aa840b33ffff,75,126289.2182272,1683.8562430293334
892aa840b3bffff,89,169607.31284919,1905.7001443729214
892aa840b67ffff,75,93550.00584564,1247.3334112752
892aa840b77ffff,50,64348.66838819,1286.9733677638
892aa840b87ffff,50,96984.24583913,1939.6849167826
892aa840b97ffff,38,69883.27243033,1839.0334850086845
892aa840babffff,3,7178.66863133,2392.8895437766664
892aa840bb3ffff,67,111244.22614218,1660.361584211642
892aa840bb7ffff,6,7206.30978222,1201.0516303699999
892aa84404fffff,15,14415.309149730001,961.0206099820001
892aa844063ffff,37,76492.7053329,2067.370414402703
892aa844067ffff,57,122494.79089466,2149.031419204561
892aa84406bffff,190,165257.75853573,869.7776765038421
892aa84406fffff,36,224485.55645332,6235.709901481111
892aa84407bffff,48,38722.59720707,806.7207751472916
892aa844123ffff,18,30692.76567007,1705.1536483372222
892aa844127ffff,43,47724.43677263,1109.8706226193024
892aa84412bffff,142,184635.18409314,1300.2477753038029
892aa84412fffff,126,130206.82986655,1033.3875386234126
892aa84414bffff,34,320582.55368218,9428.898637711176
892aa844167ffff,105,120834.29901238,1150.8028477369523
892aa844173ffff,1,56.05686738,56.05686738
892aa844177ffff,12,37515.27659128,3126.2730492733335
892aa844203ffff,235,196156.344753,834.707850012766
892aa844207ffff,159,212390.36861072,1335.7884818284276
892aa84420bffff,124,116619.49435614,940.4797931946774
892aa84420fffff,195,223228.84174753,1144.7632910129744
892aa844213ffff,142,195847.68781814998,1379.2090691419012
892aa844217ffff,199,163162.41516315,819.9116339856783
892aa84421bffff,89,178884.09919421,2009.9336988113482
892aa844223ffff,117,193037.5929973,1649.8939572418803
892aa844227ffff,108,123644.93161925,1144.8604779560185
892aa84422bffff,146,191508.18714144,1311.699911927671
892aa84422fffff,115,134400.49738122,1168.6999772279999
892aa844233ffff,208,276672.78976775,1330.1576431141827
892aa844237ffff,155,167076.88114058,1077.9153621972903
892aa84423bffff,178,193621.42776082,1087.7608301169662
892aa844243ffff,147,222667.45575681,1514.7445969851021
892aa844247ffff,101,116942.38740379999,1157.845419839604
892aa84424bffff,88,322929.02124961,3669.647968745568
892aa84424fffff,95,210974.09792928,2220.7799782029474
892aa844253ffff,196,192021.79122946,979.7030164768368
892aa844257ffff,84,100054.00050096,1191.119053582857
892aa84425bffff,211,258799.00104448,1226.535549973839
892aa844263ffff,164,194211.57331004,1184.2169104270731
892aa844267ffff,140,174735.62912234,1248.1116365881428
892aa84426bffff,223,255690.36352611,1146.5935584130493
892aa84426fffff,217,237529.77912798,1094.6072770874655
892aa844273ffff,167,202131.87924488,1210.370534400479
892aa844277ffff,166,184183.00534986999,1109.5361768064456
892aa84427bffff,164,322616.00226054,1967.1707454910975
892aa844283ffff,54,48698.88506259,901.8312048627778
892aa844287ffff,47,38919.53198739,828.0751486678723
892aa84428bffff,227,194358.77402048,856.2060529536564
892aa84428fffff,237,193452.21231258,816.254060390633
892aa84429bffff,71,81392.48383226,1146.3730117219718
892aa8442a3ffff,239,220561.49664174,922.8514503838494
892aa8442a7ffff,159,157154.19377367,988.3911558092453
892aa8442abffff,219,217171.3298224,991.6499078648402
892aa8442afffff,154,198215.86352104,1287.1159968898703
892aa8442b3ffff,51,65073.20247307,1275.9451465307843
